target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.6	0.95	0	500	500	500	467	0.934	0.011103513	0.0097467943	0.65098812
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.8	0.9	0	500	499	499	454	0.90981964	0.012822815	0.013429844	0.54515725
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.8	0.95	0	500	499	499	477	0.95591182	0.0091900889	0.0097565558	0.64779523
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.2	0.9	0	500	492	433	388	0.8960739	0.014665277	0.01441708	0.66172307
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.2	0.95	0	500	492	433	403	0.93071594	0.012203413	0.010473766	0.95687873
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.4	0.9	0	500	500	498	463	0.92971888	0.011454615	0.013443321	0.5963975
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.4	0.95	0	500	500	498	477	0.95783133	0.0090058524	0.0097663466	0.7673716
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.6	0.9	0	500	500	500	445	0.89	0.013992855	0.013416408	0.61125587
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.6	0.95	0	500	500	500	470	0.94	0.010620734	0.0097467943	0.7557924
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.8	0.9	0	500	499	499	446	0.89378758	0.013792867	0.013429844	0.57656489
sigma_a2	sigma_a2_satterthwaite_chisq_probe	medium	240	237	45	0.8	0.95	0	500	499	499	471	0.94388778	0.010302406	0.0097565558	0.70047241
