target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_delta_z	tiny	36	33	9	0.2	0.95	0	500	352	352	347	0.98579545	0.0063071875	0.011616505	0.88882446
h2	h2_delta_z	tiny	36	33	9	0.4	0.9	0	500	407	407	407	1	0	0.014870448	0.80335293
h2	h2_delta_z	tiny	36	33	9	0.4	0.95	0	500	407	407	407	1	0	0.01080313	0.86650597
h2	h2_delta_z	tiny	36	33	9	0.6	0.9	0	500	440	440	440	1	0	0.014301939	0.77295905
h2	h2_delta_z	tiny	36	33	9	0.6	0.95	0	500	440	440	440	1	0	0.010390118	0.84232406
h2	h2_delta_z	tiny	36	33	9	0.8	0.9	0	500	396	396	396	1	0	0.015075567	0.76592299
h2	h2_delta_z	tiny	36	33	9	0.8	0.95	0	500	396	396	396	1	0	0.010952146	0.83952751
h2	h2_profile_chisq	tiny	36	33	9	0.2	0.9	0	500	352	352	334	0.94886364	0.011740741	0.015990054	0.75585052
h2	h2_profile_chisq	tiny	36	33	9	0.2	0.95	0	500	352	352	345	0.98011364	0.0074412273	0.011616505	0.83495541
h2	h2_profile_chisq	tiny	36	33	9	0.4	0.9	0	500	407	407	394	0.96805897	0.0087162198	0.014870448	0.77357606
h2	h2_profile_chisq	tiny	36	33	9	0.4	0.95	0	500	407	407	401	0.98525799	0.0059738759	0.01080313	0.85375794
h2	h2_profile_chisq	tiny	36	33	9	0.6	0.9	0	500	440	440	422	0.95909091	0.0094430755	0.014301939	0.74889619
h2	h2_profile_chisq	tiny	36	33	9	0.6	0.95	0	500	440	440	439	0.99772727	0.0022701432	0.010390118	0.83277409
h2	h2_profile_chisq	tiny	36	33	9	0.8	0.9	0	500	396	396	381	0.96212121	0.0095932406	0.015075567	0.70112849
h2	h2_profile_chisq	tiny	36	33	9	0.8	0.95	0	500	396	396	388	0.97979798	0.0070699782	0.010952146	0.78390317
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.9	0	500	352	352	350	0.99431818	0.0040062221	0.015990054	0.9719344
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.95	0	500	352	352	352	1	0	0.011616505	1.1248525
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.9	0	500	407	407	385	0.94594595	0.011208567	0.014870448	1.1472956
