# HSquared.jl AI-REML per-section profiler  2026-09-19T08:03:15.572
# git_sha=2dc5f8f7  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	5000	3.849	0	mme_solve	profile	0.000374	NaN	12
halfsib	5000	3.849	0	selinv	profile	0.000560	NaN	12
halfsib	5000	3.849	0	cholmod_factor	profile	0.003142	NaN	12
halfsib	5000	3.849	0	mme_assembly	profile	0.002412	NaN	12
halfsib	20000	3.850	1	mme_assembly	instrumented	0.002429	22933856	15
halfsib	20000	3.850	1	cholmod_factor	instrumented	0.004007	12242008	15
halfsib	20000	3.850	1	mme_solve	instrumented	0.000293	2240904	15
halfsib	20000	3.850	1	selinv	instrumented	0.001060	4682064	15
halfsib	20000	3.850	1	ai_step	instrumented	0.000873	6405072	15
halfsib	20000	3.850	1	iteration_total	instrumented	0.009171	0	15
halfsib	20000	3.850	2	mme_assembly	instrumented	0.002510	22933856	15
halfsib	20000	3.850	2	cholmod_factor	instrumented	0.004469	12242184	15
halfsib	20000	3.850	2	mme_solve	instrumented	0.000291	2240904	15
halfsib	20000	3.850	2	selinv	instrumented	0.001015	4682064	15
halfsib	20000	3.850	2	ai_step	instrumented	0.000801	6404992	15
halfsib	20000	3.850	2	iteration_total	instrumented	0.009090	0	15
halfsib	20000	3.850	3	mme_assembly	instrumented	0.002305	22933856	15
halfsib	20000	3.850	3	cholmod_factor	instrumented	0.004211	12242168	15
halfsib	20000	3.850	3	mme_solve	instrumented	0.000293	2240904	15
halfsib	20000	3.850	3	selinv	instrumented	0.001036	4682064	15
halfsib	20000	3.850	3	ai_step	instrumented	0.000800	6404912	15
halfsib	20000	3.850	3	iteration_total	instrumented	0.008646	0	15
halfsib	20000	3.850	4	mme_assembly	instrumented	0.002322	22933856	15
