# HSquared.jl AI-REML per-section profiler  2026-09-19T08:14:47.114
# git_sha=c8cf8e05  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	20000	3.850	11	iteration_total	instrumented	0.009304	0	15
halfsib	20000	3.850	12	mme_assembly	instrumented	0.008214	22934016	15
halfsib	20000	3.850	12	cholmod_factor	instrumented	0.003802	12242008	15
halfsib	20000	3.850	12	mme_solve	instrumented	0.000280	2240904	15
halfsib	20000	3.850	12	selinv	instrumented	0.001009	4682064	15
halfsib	20000	3.850	12	ai_step	instrumented	0.000808	6404432	15
halfsib	20000	3.850	12	iteration_total	instrumented	0.014115	0	15
halfsib	20000	3.850	13	mme_assembly	instrumented	0.036864	22934016	15
halfsib	20000	3.850	13	cholmod_factor	instrumented	0.003951	12242008	15
halfsib	20000	3.850	13	mme_solve	instrumented	0.000278	2240904	15
halfsib	20000	3.850	13	selinv	instrumented	0.001093	4682064	15
halfsib	20000	3.850	13	ai_step	instrumented	0.000772	6404432	15
halfsib	20000	3.850	13	iteration_total	instrumented	0.042959	0	15
halfsib	20000	3.850	14	mme_assembly	instrumented	0.031788	22934016	15
halfsib	20000	3.850	14	cholmod_factor	instrumented	0.003772	12242008	15
halfsib	20000	3.850	14	mme_solve	instrumented	0.000272	2240904	15
halfsib	20000	3.850	14	selinv	instrumented	0.001196	4682064	15
halfsib	20000	3.850	14	ai_step	instrumented	0.000884	6404432	15
halfsib	20000	3.850	14	iteration_total	instrumented	0.037913	0	15
halfsib	20000	3.850	15	mme_assembly	instrumented	0.002715	22934016	15
halfsib	20000	3.850	15	cholmod_factor	instrumented	0.003825	12242008	15
halfsib	20000	3.850	15	mme_solve	instrumented	0.000278	2240904	15
halfsib	20000	3.850	15	selinv	instrumented	0.000993	4682064	15
halfsib	20000	3.850	15	ai_step	instrumented	0.000799	6404432	15
halfsib	20000	3.850	15	iteration_total	instrumented	0.008611	0	15
halfsib	20000	3.850	0	selinv	profile	0.003155	NaN	15
halfsib	20000	3.850	0	other	profile	0.110368	NaN	15
halfsib	20000	3.850	0	mme_solve	profile	0.001683	NaN	15
halfsib	20000	3.850	0	ai_step	profile	0.000701	NaN	15
halfsib	20000	3.850	0	cholmod_factor	profile	0.015496	NaN	15
halfsib	20000	3.850	0	mme_assembly	profile	0.007713	NaN	15
halfsib	50000	3.850	1	mme_assembly	instrumented	0.006103	57055360	11
halfsib	50000	3.850	1	cholmod_factor	instrumented	0.009784	30602008	11
halfsib	50000	3.850	1	mme_solve	instrumented	0.000702	5600904	11
halfsib	50000	3.850	1	selinv	instrumented	0.002518	11701968	11
halfsib	50000	3.850	1	ai_step	instrumented	0.001955	16005072	11
halfsib	50000	3.850	1	iteration_total	instrumented	0.021918	0	11
halfsib	50000	3.850	2	mme_assembly	instrumented	0.005864	57055520	11
halfsib	50000	3.850	2	cholmod_factor	instrumented	0.010074	30602008	11
